arrival_date,modal_price
20-11-2011,
21-11-2011,4900
22-11-2011,3900
23-11-2011,3900
24-11-2011,3900
25-11-2011,3900
26-11-2011,3900
27-11-2011,
28-11-2011,3900
29-11-2011,3300
30-11-2011,3200
01-12-2011,4750
02-12-2011,
03-12-2011,
04-12-2011,
05-12-2011,
06-12-2011,
07-12-2011,
08-12-2011,
09-12-2011,
10-12-2011,
11-12-2011,
12-12-2011,
13-12-2011,
14-12-2011,
15-12-2011,
16-12-2011,
17-12-2011,
18-12-2011,
19-12-2011,
20-12-2011,
21-12-2011,
22-12-2011,
23-12-2011,
24-12-2011,
25-12-2011,
26-12-2011,
27-12-2011,
28-12-2011,
29-12-2011,
30-12-2011,
31-12-2011,
01-01-2012,1550
02-01-2012,1400
03-01-2012,1400
04-01-2012,1400
05-01-2012,2000
06-01-2012,2000
07-01-2012,5250
08-01-2012,2000
09-01-2012,2000
10-01-2012,2000
11-01-2012,1550
12-01-2012,1550
13-01-2012,1550
14-01-2012,4100
15-01-2012,300
16-01-2012,1600
17-01-2012,1950
18-01-2012,1900
19-01-2012,1900
20-01-2012,5500
21-01-2012,1850
22-01-2012,1850
23-01-2012,7300
24-01-2012,12250
25-01-2012,1400
26-01-2012,
27-01-2012,1700
28-01-2012,6500
29-01-2012,
30-01-2012,1700
31-01-2012,1700
01-02-2012,1700
02-02-2012,9000
03-02-2012,1550
04-02-2012,5200
05-02-2012,3300
06-02-2012,9000
07-02-2012,5200
08-02-2012,4800
09-02-2012,4700
10-02-2012,11000
11-02-2012,9500
12-02-2012,5000
13-02-2012,1300
14-02-2012,8500
15-02-2012,9500
16-02-2012,8500
17-02-2012,7750
18-02-2012,7750
19-02-2012,
20-02-2012,225
21-02-2012,2400
22-02-2012,1400
23-02-2012,8500
24-02-2012,7500
25-02-2012,7750
26-02-2012,3200
27-02-2012,7000
28-02-2012,7000
29-02-2012,6500
01-03-2012,2600
02-03-2012,5500
03-03-2012,5500
04-03-2012,2500
05-03-2012,3500
06-03-2012,4500
07-03-2012,4250
08-03-2012,2600
09-03-2012,3250
10-03-2012,2750
11-03-2012,4000
12-03-2012,3500
13-03-2012,3500
14-03-2012,2600
15-03-2012,2750
16-03-2012,2750
17-03-2012,3000
18-03-2012,3000
19-03-2012,1700
20-03-2012,3000
21-03-2012,1100
22-03-2012,2500
23-03-2012,2250
24-03-2012,4000
25-03-2012,3000
