date,MINUTES,cloud,cloud_level,day,dewp,fog,gust,hail,max,min,month,mxspd,prcp,rh,slp,snow,snowdiff,snowf,sst,sstorm,stp,sun,temp,tstorm,visib,wddir,wet_bulb,wmoid,year
1961-01-12,,,,12,0.8333333333333334,0.0,,0.0,16.11111111111111,2.7777777777777777,1,0.9774444444436,0.0,,1022.4,0.0,,0.0,,0.0,,,7.777777777777778,0.0,6.9201792,,,42097,1961
1961-01-13,,,,13,1.555555555555554,0.0,,0.0,17.777777777777782,2.7777777777777777,1,0.9774444444436,0.0,,1022.4,,,0.0,,0.0,,,9.777777777777779,0.0,7.563916800000001,,,42097,1961
1961-01-14,,,,14,-0.22222222222222146,0.0,,0.0,20.0,2.7777777777777777,1,0.9774444444436,0.0,,1021.3,,,0.0,,0.0,,,10.333333333333334,0.0,7.563916800000001,,,42097,1961
1961-01-15,,,,15,-2.000000000000001,0.0,,0.0,22.222222222222207,5.0,1,0.9774444444436,0.0,,1021.0,0.0,,0.0,,0.0,,,12.888888888888893,0.0,7.563916800000001,,,42097,1961
1961-01-16,,,,16,4.777777777777779,0.0,,0.0,25.0,5.0,1,0.9774444444436,0.0,,1019.6,0.0,0.0,0.0,,0.0,,,12.444444444444445,0.0,6.437376,,,42097,1961
1961-01-17,,,,17,5.0,0.0,,0.0,22.777777777777786,6.1111111111111125,1,0.9774444444436,0.0,,1019.5,0.0,0.0,0.0,,0.0,,,15.444444444444445,0.0,7.563916800000001,,,42097,1961
1961-01-18,,,,18,8.666666666666668,0.0,,0.0,23.88888888888889,11.111111111111107,1,0.9774444444436,0.0,,1019.1,0.0,0.0,0.0,,0.0,,,15.555555555555555,0.0,7.563916800000001,,,42097,1961
1961-01-19,,,,19,7.5,0.0,,0.0,22.777777777777786,8.888888888888891,1,0.9774444444436,0.0,,1017.8,0.0,0.0,0.0,,0.0,,,13.333333333333336,0.0,6.9201792,,,42097,1961
1961-01-20,,,,20,6.500000000000003,0.0,,0.0,26.11111111111111,8.888888888888891,1,0.9774444444436,0.0,,1015.5,0.0,0.0,0.0,,0.0,,,18.333333333333336,0.0,8.529523199999998,,,42097,1961
1961-01-21,,,,21,6.3611111111111125,,,,25.0,8.055555555555557,1,0.9774444444436,0.0,,1016.8,,,,,,,,16.722222222222225,,,,,42097,1961
1961-01-22,,,,22,6.222222222222222,0.0,,0.0,23.88888888888889,7.222222222222222,1,0.9774444444436,0.0,,1018.1,0.0,,0.0,,0.0,,,15.111111111111116,0.0,7.563916800000001,,,42097,1961
1961-01-23,,,,23,5.999999999999999,0.0,,0.0,22.222222222222207,7.222222222222222,1,0.9774444444436,0.0,,1017.9,0.0,0.0,0.0,,0.0,,,16.11111111111111,0.0,7.563916800000001,,,42097,1961
1961-01-24,,,,24,5.444444444444443,0.0,,0.0,23.88888888888889,10.0,1,2.1092222222204,0.0,,1017.8,0.0,0.0,0.0,,0.0,,,15.111111111111116,0.0,7.563916800000001,,,42097,1961
1961-01-25,,,,25,8.333333333333334,0.0,,0.0,21.11111111111111,11.111111111111107,1,2.1092222222204,0.0,,1014.4,0.0,0.0,0.0,,0.0,,,14.888888888888884,0.0,6.9201792,,,42097,1961
1961-01-26,,,,26,9.625,,,,20.27777777777778,11.388888888888886,1,2.7265555555531997,,,1014.2,,,,,,,,15.027777777777775,,,,,42097,1961
1961-01-27,,,,27,10.916666666666666,,,,19.444444444444446,11.666666666666666,1,3.343888888886,,,1014.0,,,,,,,,15.166666666666664,,,,,42097,1961
1961-01-28,,,,28,12.208333333333332,,,,18.611111111111114,11.944444444444446,1,3.9612222222188,,,1013.8,,,,,,,,15.305555555555554,,,,,42097,1961
1961-01-29,,,,29,13.499999999999998,0.0,,0.0,17.777777777777782,12.222222222222225,1,4.5785555555516,,,1013.6,0.0,,0.0,,0.0,,,15.444444444444445,0.0,8.529523199999998,,,42097,1961
