,timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
0,1619976905,Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,02/05/2021,500,700,600
1,1619976905,Chattisgarh,Janjgir,Jaijaipur,Paddy(Dhan)(Common),1001,02/05/2021,1300,1300,1300
2,1619976905,Karnataka,Bellary,Hospet,Bunch Beans,Bunch Beans,02/05/2021,1900,1900,1900
3,1619976905,Karnataka,Bellary,Hospet,Cabbage,Cabbage,02/05/2021,500,600,600
4,1619976905,Karnataka,Bellary,Hospet,Garlic,Garlic,02/05/2021,2800,4000,3200
5,1619976905,Karnataka,Bellary,Hospet,Green Chilli,Green Chilly,02/05/2021,1000,1200,1200
6,1619976905,Karnataka,Bellary,Hospet,Gur(Jaggery),Achhu,02/05/2021,3125,3800,3125
7,1619976905,Karnataka,Bellary,Hospet,Onion,Local,02/05/2021,1600,1600,1600
8,1619976905,Karnataka,Bellary,Hospet,Potato,Potato,02/05/2021,1400,1400,1400
9,1619976905,Karnataka,Bellary,Hospet,Tomato,Tomato,02/05/2021,400,1000,800
10,1619976905,Karnataka,Kolar,Kolar,Beans,Beans (Whole),02/05/2021,4000,4500,4300
11,1619976905,Karnataka,Kolar,Kolar,Beetroot,Beetroot,02/05/2021,500,700,600
12,1619976905,Karnataka,Kolar,Kolar,Bhindi(Ladies Finger),Bhindi,02/05/2021,2000,2500,2300
13,1619976905,Karnataka,Kolar,Kolar,Bitter gourd,Bitter Gourd,02/05/2021,1500,2000,1700
14,1619976905,Karnataka,Kolar,Kolar,Brinjal,Brinjal,02/05/2021,800,1200,1000
15,1619976905,Karnataka,Kolar,Kolar,Cabbage,Cabbage,02/05/2021,500,700,600
16,1619976905,Karnataka,Kolar,Kolar,Capsicum,Capsicum,02/05/2021,1500,2000,1700
17,1619976905,Karnataka,Kolar,Kolar,Carrot,Carrot,02/05/2021,1200,1400,1300
18,1619976905,Karnataka,Kolar,Kolar,Cauliflower,Local,02/05/2021,800,1000,900
19,1619976905,Karnataka,Kolar,Kolar,Chapparad Avare,Chapparada Avarekai,02/05/2021,2000,2500,2300
20,1619976905,Karnataka,Kolar,Kolar,Chilly Capsicum,Chilly Capsicum,02/05/2021,2000,2500,2300
21,1619976905,Karnataka,Kolar,Kolar,Cucumbar(Kheera),Cucumbar,02/05/2021,200,400,300
22,1619976905,Karnataka,Kolar,Kolar,Green Chilli,Green Chilly,02/05/2021,4000,5000,4500
23,1619976905,Karnataka,Kolar,Kolar,Knool Khol,Knool Khol,02/05/2021,1000,1200,1100
24,1619976905,Karnataka,Kolar,Kolar,Onion,Other,02/05/2021,2000,2500,2300
25,1619976905,Karnataka,Kolar,Kolar,Potato,Local,02/05/2021,1200,1500,1300
26,1619976905,Karnataka,Kolar,Kolar,Raddish,Raddish,02/05/2021,600,800,700
27,1619976905,Karnataka,Kolar,Kolar,Ridge gourd(Tori),Ridgeguard(Tori),02/05/2021,1500,2000,1700
28,1619976905,Karnataka,Kolar,Kolar,Thondekai,Thondekai,02/05/2021,1200,1400,1300
29,1619976905,Karnataka,Kolar,Kolar,Tomato,Tomato,02/05/2021,300,800,500
30,1619976905,Kerala,Kollam,Anchal,Ashgourd,Other,02/05/2021,2800,3000,2900
31,1619976905,Madhya Pradesh,Neemuch,Manasa,Ajwan,Other,02/05/2021,100,100,100
32,1619976905,Maharashtra,Ahmednagar,Parner,Onion,Other,02/05/2021,200,1400,975
33,1619976905,Maharashtra,Akola,Balapur,Arhar (Tur/Red Gram)(Whole),Other,02/05/2021,6400,6600,6450
34,1619976905,Maharashtra,Akola,Balapur,Bengal Gram(Gram)(Whole),Average (Whole),02/05/2021,4710,5015,4900
35,1619976905,Maharashtra,Akola,Balapur,Black Gram (Urd Beans)(Whole),Other,02/05/2021,4000,4000,4000
36,1619976905,Maharashtra,Akola,Balapur,Jowar(Sorghum),Other,02/05/2021,1000,1000,1000
37,1619976905,Maharashtra,Akola,Balapur,Soyabean,Yellow,02/05/2021,6152,6900,6500
38,1619976905,Maharashtra,Akola,Balapur,Wheat,Other,02/05/2021,1450,2000,1800
39,1619976905,Maharashtra,Aurangabad,Sillod,Bajra(Pearl Millet/Cumbu),Other,02/05/2021,1250,1300,1300
40,1619976905,Maharashtra,Aurangabad,Sillod,Maize,Yellow,02/05/2021,1300,1500,1450
41,1619976905,Maharashtra,Aurangabad,Sillod,Soyabean,Other,02/05/2021,6500,7500,7000
42,1619976905,Maharashtra,Aurangabad,Sillod,Wheat,Other,02/05/2021,1650,1750,1700
43,1619976905,Maharashtra,Hingoli,Kalamnuri,Bengal Gram(Gram)(Whole),Other,02/05/2021,4500,5100,5000
44,1619976905,Maharashtra,Kolhapur,Kolhapur,Apple,Other,02/05/2021,9000,12500,10750
45,1619976905,Maharashtra,Kolhapur,Kolhapur,Brinjal,Other,02/05/2021,500,2000,1250
46,1619976905,Maharashtra,Kolhapur,Kolhapur,Cabbage,Other,02/05/2021,200,500,350
47,1619976905,Maharashtra,Kolhapur,Kolhapur,Cauliflower,Other,02/05/2021,500,1250,875
48,1619976905,Maharashtra,Kolhapur,Kolhapur,Coriander(Leaves),Other,02/05/2021,3500,8400,5950
49,1619976905,Maharashtra,Kolhapur,Kolhapur,Green Chilli,Other,02/05/2021,1000,2000,1500
50,1619976905,Maharashtra,Kolhapur,Kolhapur,Lime,Other,02/05/2021,1500,6750,4125
51,1619976905,Maharashtra,Kolhapur,Kolhapur,Methi(Leaves),Other,02/05/2021,5600,11200,8400
