date,MINUTES,cloud,cloud_level,day,dewp,fog,gust,hail,max,min,month,mxspd,prcp,rh,slp,snow,snowdiff,snowf,sst,sstorm,stp,sun,temp,tstorm,visib,wddir,wet_bulb,wmoid,year
1957-01-03,,,,3,9.722222222222225,0.0,,0.0,17.777777777777782,6.1111111111111125,1,6.6877777777719984,0.0,,1020.1,0.0,,0.0,,0.0,,,11.777777777777779,0.0,3.5405568000000005,,,42099,1957
1957-01-16,,,,16,9.555555555555557,0.0,,0.0,22.222222222222207,6.1111111111111125,1,2.6236666666644,0.0,,,0.0,,0.0,,0.0,,,12.222222222222225,0.0,18.507456,,,42099,1957
1957-01-23,,,,23,11.222222222222225,0.0,,0.0,22.777777777777786,7.222222222222222,1,0.9774444444436,0.0,,1018.7,0.0,,0.0,,0.0,,,13.499999999999998,0.0,6.9201792,,,42099,1957
1957-01-24,,,,24,11.222222222222225,,,,22.361111111111118,8.194444444444443,1,1.2603888888878,0.0,,1016.85,,,,,,,,13.666666666666666,,,,,42099,1957
1957-01-25,,,,25,11.222222222222225,,,,21.94444444444445,9.166666666666664,1,1.5433333333319998,0.0,,1015.0,,,,,,,,13.833333333333332,,,,,42099,1957
1957-01-26,,,,26,11.222222222222225,,,,21.52777777777778,10.138888888888886,1,1.8262777777762,0.0,,1013.15,,,,,,,,14.0,,,,,42099,1957
1957-01-27,,,,27,11.222222222222225,0.0,,0.0,21.11111111111111,11.111111111111107,1,2.1092222222204,0.0,,1011.3,0.0,,0.0,,0.0,,,14.166666666666668,0.0,5.4717696,,,42099,1957
1957-03-17,,,,17,14.888888888888884,0.0,,0.0,31.11111111111111,20.0,3,2.6236666666644,0.0,,1012.7,0.0,,0.0,,0.0,,,23.88888888888889,0.0,5.4717696,,,42099,1957
1957-03-18,,,,18,14.666666666666664,,,,31.11111111111111,18.055555555555557,3,2.6236666666644,1.524,,1012.0,,,,,,,,22.694444444444446,,,,,42099,1957
1957-03-19,,,,19,14.444444444444445,0.0,,0.0,31.11111111111111,16.11111111111111,3,2.6236666666644,3.048,,1011.3,0.0,,0.0,,0.0,,,21.500000000000004,0.0,,,,42099,1957
1957-03-24,,,,24,13.222222222222221,0.0,,0.0,27.777777777777786,16.11111111111111,3,3.601111111108,0.0,,1012.1,0.0,,0.0,,0.0,,,20.277777777777786,0.0,6.9201792,,,42099,1957
1957-04-04,,,,4,11.111111111111107,0.0,,0.0,27.777777777777786,22.222222222222207,4,5.710333333328397,0.0,,1005.9,0.0,,0.0,,0.0,,,23.777777777777786,1.0,5.4717696,,,42099,1957
1957-04-05,,,,5,11.430555555555552,,,,27.361111111111118,21.1111111111111,4,5.710333333328397,0.0,,1007.25,,,,,,,,22.875000000000007,,,,,42099,1957
1957-04-06,,,,6,11.749999999999996,,,,26.94444444444445,19.999999999999993,4,5.710333333328397,0.0,,1008.5999999999999,,,,,,,,21.972222222222225,,,,,42099,1957
1957-04-07,,,,7,12.06944444444444,,,,26.52777777777778,18.88888888888889,4,5.710333333328397,0.0,,1009.9499999999999,,,,,,,,21.069444444444443,,,,,42099,1957
1957-04-08,,,,8,12.388888888888884,0.0,,0.0,26.11111111111111,17.777777777777782,4,5.710333333328397,0.0,,1011.3,0.0,,0.0,,0.0,,,20.166666666666664,0.0,5.4717696,,,42099,1957
